"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.33464209277645e-17,0.972447555987872,0.085,0.125,4.88663936439039e-13,"1","Nvl"
2.17211463183245e-06,0.970143182675485,0.186,0.243,0.0454645313588849,"1","Xrn1"
2.64402048901352e-09,0.970069217799562,0.143,0.191,5.53419928555419e-05,"1","Mapk8"
5.4625731905105e-22,0.969833509142883,0.076,0.116,1.14337119450575e-17,"1","Ash2l"
9.14738044282184e-21,0.969714809007294,0.103,0.153,1.91463820048704e-16,"1","Wwox"
2.31169381834044e-18,0.967865001581821,0.086,0.127,4.83860633116838e-14,"1","Agfg1"
8.14905632059261e-18,0.963216675970569,0.096,0.14,1.70567897846324e-13,"1","Herc4"
2.96758833474505e-17,0.961891211133654,0.09,0.117,6.21145914345487e-13,"1","Rnf121"
3.01389865757339e-09,0.961517499794961,0.159,0.213,6.30839128016686e-05,"1","Tet2"
6.18170855667646e-09,0.959151632971848,0.159,0.212,0.000129389341799795,"1","Nedd4l"
1.65121568964849e-10,0.95909516588685,0.107,0.144,3.45615956000326e-06,"1","D10Wsu102e"
4.698918498446e-08,0.957499887998752,0.118,0.151,0.000983530630909732,"1","B4galt1"
3.05601419564263e-13,0.95735821854118,0.075,0.106,6.39654331289959e-09,"1","Rab43"
1.02370288182248e-17,0.955374003946333,0.071,0.106,2.14271250194262e-13,"1","A930003O13Rik"
4.74625919919662e-15,0.954181551788331,0.127,0.178,9.93439512983844e-11,"1","Svil"
3.49385814508139e-13,0.953335873634952,0.095,0.133,7.31299448346985e-09,"1","Dpp8"
3.53193737769676e-18,0.95326553060517,0.069,0.103,7.39269812525708e-14,"1","Kcnc3"
2.5525132412608e-15,0.952412336340344,0.124,0.175,5.34266546528298e-11,"1","Tbc1d32"
4.55791032450831e-11,0.948311803933725,0.154,0.208,9.54016210022833e-07,"1","Angel2"
1.00837028755117e-94,0.947090313190756,0.524,0.561,2.11061984887335e-90,"1","Sgip1"
2.19272763495383e-15,0.94626811836953,0.099,0.141,4.58959821272185e-11,"1","Hif1an"
3.18536325660062e-07,0.945535482508948,0.159,0.206,0.00666728383239076,"1","Ints13"
3.20177810439232e-21,0.942767467552663,0.091,0.137,6.70164175030357e-17,"1","Pex3"
4.80072429029994e-08,0.941677924124525,0.172,0.223,0.00100483960120268,"1","Srsf6"
3.57180376322613e-11,0.941430080647625,0.081,0.111,7.47614245680861e-07,"1","Mfap3"
4.86531608035788e-14,0.940297554847103,0.097,0.136,1.01835930877971e-09,"1","Dnajb4"
4.13819776696355e-10,0.938891656052308,0.077,0.103,8.66166174603141e-06,"1","BC065403"
9.17579884742471e-14,0.938042421016622,0.101,0.142,1.92058645675447e-09,"1","Tex9"
2.38379526585576e-12,0.936831281994344,0.114,0.157,4.9895218709627e-08,"1","Zfp398"
4.27713952809433e-12,0.935484820826557,0.129,0.177,8.95248074625424e-08,"1","Fra10ac1"
2.32642687438772e-25,0.933844110254955,0.131,0.198,4.86944409078093e-21,"1","Smug1"
2.59020520140997e-19,0.933257367226021,0.109,0.159,5.42155850707121e-15,"1","Wwp1"
1.29649589869269e-21,0.933163842346813,0.091,0.137,2.71369556555367e-17,"1","Tpp2"
1.4927041342477e-19,0.932629437505417,0.078,0.116,3.12437902339387e-15,"1","Chkb"
8.63522806709487e-23,0.930549870336452,0.063,0.1,1.80743958672363e-18,"1","Ciz1"
